normalized_name,observed_rows,raw_name_variants,distinct_restaurant_ids,confidence,review_status
cafe bro,2,1,2,High,Conservative normalization
cafe buddy s espresso,2,2,2,Medium,Conservative normalization
cafe cake bee,2,1,2,High,Conservative normalization
cafe central,2,2,2,Medium,Conservative normalization
cafe chennai,2,1,2,High,Conservative normalization
cafe choco craze,2,1,2,High,Conservative normalization
cafe cilantro,2,1,2,High,Conservative normalization
cafe cloud,2,1,2,High,Conservative normalization
cafe clove,2,2,2,Medium,Conservative normalization
cafe d,2,1,2,High,Conservative normalization
cafe deewane,2,2,2,Medium,Conservative normalization
cafe desire,2,1,2,High,Conservative normalization
cafe down the alley,2,2,2,Medium,Conservative normalization
cafe downtown,2,2,2,Medium,Conservative normalization
cafe dreamland,2,1,2,High,Conservative normalization
cafe drifter,2,1,2,High,Conservative normalization
cafe ekante,2,2,2,Medium,Conservative normalization
cafe express,2,2,2,Medium,Conservative normalization
cafe goodluck,2,1,2,High,Conservative normalization
cafe grand,2,2,2,Medium,Conservative normalization
cafe green,2,1,2,High,Conservative normalization
cafe grillz,2,1,2,High,Conservative normalization
cafe hashtag,2,1,2,High,Conservative normalization
cafe heartbeat,2,2,2,Medium,Conservative normalization
cafe hub,2,1,2,High,Conservative normalization
cafe iftar,2,1,2,High,Conservative normalization
cafe india,2,1,2,High,Conservative normalization
cafe istanbul,2,1,2,High,Conservative normalization
cafe kebabiz,2,2,2,Medium,Conservative normalization
cafe knight riders,2,1,2,High,Conservative normalization
cafe kono,2,1,2,High,Conservative normalization
cafe manara,2,2,2,Medium,Conservative normalization
cafe manhattan,2,2,2,Medium,Conservative normalization
cafe melange,2,2,2,Medium,Conservative normalization
cafe meraki,2,2,2,Medium,Conservative normalization
cafe milano,2,1,2,High,Conservative normalization
cafe noorani,2,1,2,High,Conservative normalization
cafe nyc queens,2,1,2,High,Conservative normalization
cafe old skool,2,1,2,High,Conservative normalization
cafe patisserie,2,1,2,High,Conservative normalization
cafe pizza corner,2,1,2,High,Conservative normalization
cafe point,2,2,2,Medium,Conservative normalization
cafe porkotini,2,1,2,High,Conservative normalization
cafe punjab,2,1,2,High,Conservative normalization
cafe rendezvous,2,1,2,High,Conservative normalization
cafe rudra,2,1,2,High,Conservative normalization
cafe soy,2,1,2,High,Conservative normalization
cafe sukoon,2,1,2,High,Conservative normalization
cafe sultan,2,1,2,High,Conservative normalization
cafe terra,2,1,2,High,Conservative normalization
cafe totaram,2,1,2,High,Conservative normalization
cafe treat,2,1,2,High,Conservative normalization
cafe u n me,2,2,2,Medium,Conservative normalization
cafe zam zam,2,1,2,High,Conservative normalization
cafeteria,2,2,2,Medium,Conservative normalization
caffe tonino,2,1,2,High,Conservative normalization
caffeine street,2,2,2,Medium,Conservative normalization
cake,2,1,2,High,Conservative normalization
cake 4 you,2,2,2,Medium,Conservative normalization
cake affaires,2,1,2,High,Conservative normalization
cake all time,2,1,2,High,Conservative normalization
cake ampm,2,1,2,High,Conservative normalization
cake and art,2,1,2,High,Conservative normalization
cake and cream,2,2,2,Medium,Conservative normalization
cake and me,2,2,2,Medium,Conservative normalization
cake and shake,2,2,2,Medium,Conservative normalization
cake away,2,2,2,Medium,Conservative normalization
cake bakery,2,2,2,Medium,Conservative normalization
cake bank,2,1,2,High,Conservative normalization
cake bite,2,2,2,Medium,Conservative normalization
cake boss,2,2,2,Medium,Conservative normalization
cake boutique,2,1,2,High,Conservative normalization
cake cartoon,2,2,2,Medium,Conservative normalization
cake castle,2,2,2,Medium,Conservative normalization
cake celebrations,2,1,2,High,Conservative normalization
cake center,2,1,2,High,Conservative normalization
cake corner and bakery,2,1,2,High,Conservative normalization
cake craft,2,2,2,Medium,Conservative normalization
cake creations,2,1,2,High,Conservative normalization
cake creatorz,2,2,2,Medium,Conservative normalization
cake daynight,2,1,2,High,Conservative normalization
cake delights,2,1,2,High,Conservative normalization
cake dengo cake shop,2,1,2,High,Conservative normalization
cake desire,2,1,2,High,Conservative normalization
cake di bakery and more,2,2,2,Medium,Conservative normalization
cake dilim,2,1,2,High,Conservative normalization
cake eggless live cake,2,2,2,Medium,Conservative normalization
cake for celebrations,2,1,2,High,Conservative normalization
cake for u,2,1,2,High,Conservative normalization
cake fort,2,1,2,High,Conservative normalization
cake guru,2,2,2,Medium,Conservative normalization
cake heaven,2,2,2,Medium,Conservative normalization
cake hi bakery,2,2,2,Medium,Conservative normalization
cake hill,2,2,2,Medium,Conservative normalization
cake imperial,2,1,2,High,Conservative normalization
cake kafe,2,2,2,Medium,Conservative normalization
cake make the pastry world,2,1,2,High,Conservative normalization
cake mart,2,2,2,Medium,Conservative normalization
cake me,2,1,2,High,Conservative normalization
cake me home,2,2,2,Medium,Conservative normalization
cake n chef,2,1,2,High,Conservative normalization
cake n cookies,2,1,2,High,Conservative normalization
cake n crust,2,1,2,High,Conservative normalization
cake nest,2,1,2,High,Conservative normalization
cake o clock by garima,2,2,2,Medium,Conservative normalization
cake o factory,2,2,2,Medium,Conservative normalization
cake of paradise,2,2,2,Medium,Conservative normalization
cake sansar,2,2,2,Medium,Conservative normalization
cake slice,2,2,2,Medium,Conservative normalization
cake station,2,2,2,Medium,Conservative normalization
cake stop,2,2,2,Medium,Conservative normalization
cake street,2,1,2,High,Conservative normalization
cake talks,2,1,2,High,Conservative normalization
cake tower,2,1,2,High,Conservative normalization
cake uncle,2,2,2,Medium,Conservative normalization
cake valley,2,2,2,Medium,Conservative normalization
cake villa,2,1,2,High,Conservative normalization
cake wali,2,1,2,High,Conservative normalization
cake walk,2,1,2,High,Conservative normalization
cake way,2,2,2,Medium,Conservative normalization
cake xpress,2,1,2,High,Conservative normalization
cake24x7,2,2,2,Medium,Conservative normalization
cakelayner,2,1,2,High,Conservative normalization
cakeoroma,2,1,2,High,Conservative normalization
cakes 24 seven,2,1,2,High,Conservative normalization
cakes 4 u,2,2,2,Medium,Conservative normalization
cakes and cookies,2,2,2,Medium,Conservative normalization
cakes and crackers,2,2,2,Medium,Conservative normalization
cakes and treats,2,2,2,Medium,Conservative normalization
cakes king,2,2,2,Medium,Conservative normalization
cakes n balloons,2,2,2,Medium,Conservative normalization
cakes n cream,2,2,2,Medium,Conservative normalization
cakes n more,2,2,2,Medium,Conservative normalization
cakes point,2,1,2,High,Conservative normalization
cakes star,2,1,2,High,Conservative normalization
cakes super,2,1,2,High,Conservative normalization
cakes wagon,2,2,2,Medium,Conservative normalization
cakes world,2,2,2,Medium,Conservative normalization
cakes11,2,1,2,High,Conservative normalization
cakes24seven,2,1,2,High,Conservative normalization
caketown,2,1,2,High,Conservative normalization
cakezz studio,2,1,2,High,Conservative normalization
calcutta 64,2,2,2,Medium,Conservative normalization
calcutta bakery cafe,2,2,2,Medium,Conservative normalization
calcutta cabin,2,2,2,Medium,Conservative normalization
calcutta calling,2,1,2,High,Conservative normalization
california pizza kitchen,2,2,2,Medium,Conservative normalization
call 4 cake,2,2,2,Medium,Conservative normalization
call a cake,2,2,2,Medium,Conservative normalization
camdin patisserie and boulangerie,2,1,2,High,Conservative normalization
canadian fried chicken,2,1,2,High,Conservative normalization
candle light,2,1,2,High,Conservative normalization
candy cake,2,2,2,Medium,Conservative normalization
cane crussh,2,1,2,High,Conservative normalization
cane hut,2,1,2,High,Conservative normalization
capri italian,2,1,2,High,Conservative normalization
capri restaurant,2,1,2,High,Conservative normalization
capri wings,2,1,2,High,Conservative normalization
captain coffee,2,2,2,Medium,Conservative normalization
captain cuisine,2,1,2,High,Conservative normalization
captain grub,2,1,2,High,Conservative normalization
captain parantha,2,1,2,High,Conservative normalization
captain rolls,2,1,2,High,Conservative normalization
caramel cafe,2,2,2,Medium,Conservative normalization
caramella s,2,1,2,High,Conservative normalization
caravan serai,2,2,2,Medium,Conservative normalization
caravela cafe and bistro,2,2,2,Medium,Conservative normalization
carlos cake cafe,2,2,2,Medium,Conservative normalization
carols pastries and bakers,2,2,2,Medium,Conservative normalization
carter s blue,2,1,2,High,Conservative normalization
casa fresco,2,1,2,High,Conservative normalization
castle grill,2,1,2,High,Conservative normalization
castles barbeque,2,1,2,High,Conservative normalization
catering service,2,1,2,High,Conservative normalization
celebrations restaurant,2,1,2,High,Conservative normalization
celebrations the cake shop,2,2,2,Medium,Conservative normalization
central cafe,2,1,2,High,Conservative normalization
centric,2,1,2,High,Conservative normalization
ceylon bake house,2,1,2,High,Conservative normalization
cha bar,2,2,2,Medium,Conservative normalization
cha cha cha dimsum sushi stir fry,2,1,2,High,Conservative normalization
chaa sutta,2,2,2,Medium,Conservative normalization
chaap chatore,2,2,2,Medium,Conservative normalization
chaap delight,2,1,2,High,Conservative normalization
chaap express,2,2,2,Medium,Conservative normalization
chaap hi chaap,2,1,2,High,Conservative normalization
chaap hut,2,1,2,High,Conservative normalization
chaap ki chhap,2,2,2,Medium,Conservative normalization
chaap kingdom,2,2,2,Medium,Conservative normalization
chaap master,2,2,2,Medium,Conservative normalization
chaap nation,2,1,2,High,Conservative normalization
chaap point,2,2,2,Medium,Conservative normalization
chaap story,2,1,2,High,Conservative normalization
chaap wale,2,2,2,Medium,Conservative normalization
chaapsticks,2,1,2,High,Conservative normalization
chaapwala com,2,1,2,High,Conservative normalization
chaat bazaar,2,1,2,High,Conservative normalization
chaat box,2,2,2,Medium,Conservative normalization
chaat chator,2,2,2,Medium,Conservative normalization
chaat company,2,1,2,High,Conservative normalization
chaat galli,2,1,2,High,Conservative normalization
chaat house,2,2,2,Medium,Conservative normalization
chaat khao,2,1,2,High,Conservative normalization
chaat master,2,1,2,High,Conservative normalization
chaat pakore paaji,2,1,2,High,Conservative normalization
chacha food street,2,1,2,High,Conservative normalization
chacha s kitchen,2,2,2,Medium,Conservative normalization
chai 25 cafe,2,1,2,High,Conservative normalization
chai addaa,2,2,2,Medium,Conservative normalization
chai amruth,2,1,2,High,Conservative normalization
chai bolo chai,2,1,2,High,Conservative normalization
chai cafe,2,2,2,Medium,Conservative normalization
chai central,2,1,2,High,Conservative normalization
chai chapter,2,1,2,High,Conservative normalization
chai chaska,2,1,2,High,Conservative normalization
chai choupati,2,1,2,High,Conservative normalization
chai chowki,2,1,2,High,Conservative normalization
chai chuski bar and restaurant,2,2,2,Medium,Conservative normalization
chai city,2,2,2,Medium,Conservative normalization
chai corner,2,2,2,Medium,Conservative normalization
chai factory,2,2,2,Medium,Conservative normalization
chai garam chai,2,2,2,Medium,Conservative normalization
chai hub,2,2,2,Medium,Conservative normalization
chai kahani,2,1,2,High,Conservative normalization
chai mantra,2,1,2,High,Conservative normalization
chai naasta,2,1,2,High,Conservative normalization
chai nashta,2,1,2,High,Conservative normalization
chai ngo,2,1,2,High,Conservative normalization
chai shai,2,1,2,High,Conservative normalization
chai smoker,2,2,2,Medium,Conservative normalization
chai sutta cafe,2,2,2,Medium,Conservative normalization
chai sutta yaari,2,2,2,Medium,Conservative normalization
chai tales,2,1,2,High,Conservative normalization
chai wai,2,1,2,High,Conservative normalization
chai zaika,2,2,2,Medium,Conservative normalization
chaiffee cafe,2,1,2,High,Conservative normalization
chaify a cup of life,2,2,2,Medium,Conservative normalization
chaiholic,2,1,2,High,Conservative normalization
chaina town,2,1,2,High,Conservative normalization
chaiwala,2,1,2,High,Conservative normalization
chakh naa,2,2,2,Medium,Conservative normalization
chakhna cafe,2,1,2,High,Conservative normalization
chakhna makhna,2,1,2,High,Conservative normalization
chakna,2,1,2,High,Conservative normalization
chakna house,2,2,2,Medium,Conservative normalization
chakna station,2,2,2,Medium,Conservative normalization
chalte firte,2,2,2,Medium,Conservative normalization
champ master,2,1,2,High,Conservative normalization
champaran handi meat house,2,2,2,Medium,Conservative normalization
champaran handi meat house hygiene and safe,2,1,2,High,Conservative normalization
champaran kitchen,2,2,2,Medium,Conservative normalization
champaran meat wala,2,1,2,High,Conservative normalization
champaran taste mutton chicken,2,1,1,High,Conservative normalization
chanchal restaurant,2,2,2,Medium,Conservative normalization
chandan hotel,2,1,2,High,Conservative normalization
chandigarh rasoi,2,1,2,High,Conservative normalization
chandini chowk,2,1,2,High,Conservative normalization
chandni chowk bhaturewale,2,1,2,High,Conservative normalization
chandni chowk to china,2,1,2,High,Conservative normalization
chandra restaurant,2,2,2,Medium,Conservative normalization
chandravilas bhuvan,2,2,2,Medium,Conservative normalization
chappan bhog,2,2,2,Medium,Conservative normalization
charminar xpress,2,2,2,Medium,Conservative normalization
chaska chaap,2,1,2,High,Conservative normalization
chaska maska,2,2,2,Medium,Conservative normalization
chat corner,2,2,2,Medium,Conservative normalization
chatori gully,2,1,2,High,Conservative normalization
chatpata restaurant,2,2,2,Medium,Conservative normalization
chattichorushaap,2,1,2,High,Conservative normalization
chaubara chaat chai and charcha,2,1,2,High,Conservative normalization
chaudhary g food court,2,2,2,Medium,Conservative normalization
chaudhary restaurant,2,1,2,High,Conservative normalization
chaw box,2,1,1,High,Conservative normalization
chawla chicken com,2,1,2,High,Conservative normalization
chawla chicken corner,2,1,2,High,Conservative normalization
chawla chicken tandoori trail,2,2,2,Medium,Conservative normalization
chawla da hotel,2,1,2,High,Conservative normalization
chawla express,2,2,2,Medium,Conservative normalization
chawla ji ke chawal,2,1,2,High,Conservative normalization
chawla s 2,2,1,2,High,Conservative normalization
chawla s junction,2,2,2,Medium,Conservative normalization
chawla s tandoori express,2,1,2,High,Conservative normalization
chawlas,2,1,2,High,Conservative normalization
chawlas2,2,1,2,High,Conservative normalization
chaya maaya,2,1,2,High,Conservative normalization
cheap eat,2,1,2,High,Conservative normalization
cheat meal,2,1,2,High,Conservative normalization
checkmate,2,1,2,High,Conservative normalization
cheelizza,2,1,2,High,Conservative normalization
cheers resto bar,2,1,2,High,Conservative normalization
cheese burst,2,1,2,High,Conservative normalization
cheese burst mania,2,1,2,High,Conservative normalization
cheese factory,2,1,2,High,Conservative normalization
cheese n freeze,2,1,2,High,Conservative normalization
cheese pizza story,2,1,2,High,Conservative normalization
cheese street,2,2,2,Medium,Conservative normalization
cheesy affair,2,2,2,Medium,Conservative normalization
cheesy crazy cafe,2,2,2,Medium,Conservative normalization
cheesy juicy burger,2,2,2,Medium,Conservative normalization
cheeze box,2,1,2,High,Conservative normalization
cheezy burger hub,2,1,2,High,Conservative normalization
cheezy omelettes,2,1,2,High,Conservative normalization
chef bakers cakes and savouries,2,1,2,High,Conservative normalization
chef bite,2,2,2,Medium,Conservative normalization
chef brothers shawarma roll,2,2,2,Medium,Conservative normalization
chef corner,2,1,2,High,Conservative normalization
chef court,2,2,2,Medium,Conservative normalization
chef italy wala,2,2,2,Medium,Conservative normalization
chef kitchen,2,1,2,High,Conservative normalization
chef nation,2,2,2,Medium,Conservative normalization
chef orders,2,1,2,High,Conservative normalization
chef s chinese,2,2,2,Medium,Conservative normalization
chef s menu,2,1,2,High,Conservative normalization
chef s restaurant,2,2,2,Medium,Conservative normalization
chef s sandwich,2,1,2,High,Conservative normalization
chef s table,2,1,2,High,Conservative normalization
chef s world,2,1,2,High,Conservative normalization
chef special,2,2,2,Medium,Conservative normalization
chef style,2,2,2,Medium,Conservative normalization
chefjee com,2,2,2,Medium,Conservative normalization
chefkraft,2,1,2,High,Conservative normalization
chennai kalyana briyani,2,1,2,High,Conservative normalization
chennai maratha,2,1,2,High,Conservative normalization
chennai rawther,2,2,2,Medium,Conservative normalization
chennai rawther briyani,2,2,2,Medium,Conservative normalization
chennai rawther restaurant,2,2,2,Medium,Conservative normalization
chennai super kitchens,2,1,2,High,Conservative normalization
chennai to china,2,1,2,High,Conservative normalization
chennai woodlands since 1963,2,2,2,Medium,Conservative normalization
chennai xpress,2,1,2,High,Conservative normalization
chettinad house,2,2,2,Medium,Conservative normalization
chicha s,2,1,2,High,Conservative normalization
chichas biryani,2,2,2,Medium,Conservative normalization
chick bites,2,2,2,Medium,Conservative normalization
chick n bites,2,1,2,High,Conservative normalization
chick n grill,2,1,2,High,Conservative normalization
chick n serve,2,2,2,Medium,Conservative normalization
chicken junction,2,2,2,Medium,Conservative normalization
chicken land,2,2,2,Medium,Conservative normalization
chicken lovers,2,2,2,Medium,Conservative normalization
chicken mania,2,2,2,Medium,Conservative normalization
chicken masala,2,1,2,High,Conservative normalization
chicken nation,2,2,2,Medium,Conservative normalization
chicken paradise,2,1,2,High,Conservative normalization
chicken plaza,2,2,2,Medium,Conservative normalization
chicken shawarma roll,2,2,2,Medium,Conservative normalization
chicken spicy,2,1,2,High,Conservative normalization
chicken xperience by venkys,2,1,2,High,Conservative normalization
chickery,2,1,2,High,Conservative normalization
chickos fried chicken,2,1,2,High,Conservative normalization
chickwalk,2,2,2,Medium,Conservative normalization
chicky wok,2,1,2,High,Conservative normalization
chik in king,2,2,2,Medium,Conservative normalization
chikey s,2,1,2,High,Conservative normalization
chikpet donne biryani house,2,1,2,High,Conservative normalization
chikpete donne biryani mane,2,1,2,High,Conservative normalization
chill buddy,2,1,2,High,Conservative normalization
chill n grill,2,1,2,High,Conservative normalization
chill out restaurant,2,2,2,Medium,Conservative normalization
chill station,2,2,2,Medium,Conservative normalization
chilli chicken,2,1,2,High,Conservative normalization
chilli chinese,2,1,2,High,Conservative normalization
chilli n herbs,2,2,2,Medium,Conservative normalization
chilli pepper,2,2,2,Medium,Conservative normalization
chillies,2,2,2,Medium,Conservative normalization
chimichurri all day asian diner,2,1,2,High,Conservative normalization
chimney sizzler,2,1,2,High,Conservative normalization
chin ease,2,1,2,High,Conservative normalization
chin lung resto bar,2,2,2,Medium,Conservative normalization
china bite,2,1,2,High,Conservative normalization
china box d,2,1,2,High,Conservative normalization
china chowk,2,2,2,Medium,Conservative normalization
china dragon,2,1,2,High,Conservative normalization
china grill,2,1,2,High,Conservative normalization
china junction,2,1,2,High,Conservative normalization
china kitchen fast food,2,1,1,High,Conservative normalization
china kitchen restaurant,2,1,1,High,Conservative normalization
china land,2,1,2,High,Conservative normalization
china palace,2,2,2,Medium,Conservative normalization
china pearl,2,1,2,High,Conservative normalization
china street,2,1,2,High,Conservative normalization
china town restaurant,2,2,2,Medium,Conservative normalization
china world,2,1,2,High,Conservative normalization
china xpress,2,2,2,Medium,Conservative normalization
chinaman by lezzetli,2,1,2,High,Conservative normalization
chinese 99,2,2,2,Medium,Conservative normalization
chinese and more,2,2,2,Medium,Conservative normalization
chinese bar s,2,1,2,High,Conservative normalization
chinese bistro,2,1,2,High,Conservative normalization
chinese bite,2,2,2,Medium,Conservative normalization
chinese by heart,2,1,2,High,Conservative normalization
chinese by kilo,2,1,2,High,Conservative normalization
chinese by nature,2,2,2,Medium,Conservative normalization
chinese byte,2,2,2,Medium,Conservative normalization
chinese castle,2,2,2,Medium,Conservative normalization
chinese center,2,1,2,High,Conservative normalization
chinese chef,2,2,2,Medium,Conservative normalization
chinese chings,2,2,2,Medium,Conservative normalization
chinese chunga,2,1,2,High,Conservative normalization
chinese cloud,2,1,2,High,Conservative normalization
chinese club,2,1,2,High,Conservative normalization
chinese court,2,1,2,High,Conservative normalization
chinese darbar,2,1,2,High,Conservative normalization
chinese delights,2,1,2,High,Conservative normalization
chinese factory,2,1,2,High,Conservative normalization
chinese fast food corner,2,2,2,Medium,Conservative normalization
chinese flavour,2,1,2,High,Conservative normalization
chinese flavours,2,1,2,High,Conservative normalization
chinese garden,2,2,2,Medium,Conservative normalization
chinese hotpot,2,1,2,High,Conservative normalization
chinese imperial,2,1,2,High,Conservative normalization
chinese kadhai,2,1,2,High,Conservative normalization
chinese kart,2,2,2,Medium,Conservative normalization
chinese kingdom,2,2,2,Medium,Conservative normalization
chinese mafia,2,1,2,High,Conservative normalization
chinese magic,2,1,2,High,Conservative normalization
chinese medicine,2,2,2,Medium,Conservative normalization
chinese monk,2,2,2,Medium,Conservative normalization
chinese mystic,2,2,2,Medium,Conservative normalization
chinese nation,2,2,2,Medium,Conservative normalization
chinese noodle house,2,2,2,Medium,Conservative normalization
chinese palace,2,2,2,Medium,Conservative normalization
chinese platter,2,2,2,Medium,Conservative normalization
chinese restaurant,2,1,2,High,Conservative normalization
chinese room,2,1,2,High,Conservative normalization
chinese saucer,2,1,2,High,Conservative normalization
chinese sizzler,2,2,2,Medium,Conservative normalization
chinese special,2,2,2,Medium,Conservative normalization
chinese square,2,2,2,Medium,Conservative normalization
chinese super bowl,2,2,2,Medium,Conservative normalization
chinese wok master,2,1,2,High,Conservative normalization
chinesetree,2,2,2,Medium,Conservative normalization
chinesh bowl,2,1,2,High,Conservative normalization
chinesh meal,2,1,2,High,Conservative normalization
chinikum,2,2,2,Medium,Conservative normalization
chinita real mexican food,2,1,2,High,Conservative normalization
chinz chinese since1997,2,1,2,High,Conservative normalization
chip n dip,2,2,2,Medium,Conservative normalization
chit chat,2,1,2,High,Conservative normalization
choco hub,2,1,2,High,Conservative normalization
chocolate cake wala bakery,2,2,2,Medium,Conservative normalization
chocolate candy cakes,2,1,2,High,Conservative normalization
chocolateria san churro,2,1,2,High,Conservative normalization
choi choi momos,2,2,2,Medium,Conservative normalization
choice bakery,2,2,2,Medium,Conservative normalization
cholo khai,2,1,2,High,Conservative normalization
chom chom by spice factory,2,1,2,High,Conservative normalization
chop sticks,2,2,2,Medium,Conservative normalization
choppers stop,2,1,2,High,Conservative normalization
chopra chicken,2,1,2,High,Conservative normalization
chops and hops,2,2,2,Medium,Conservative normalization
chopstick china,2,1,2,High,Conservative normalization
chopsticks gully,2,1,2,High,Conservative normalization
chota bite by cafe goodluck,2,1,2,High,Conservative normalization
choudhary cake hub,2,1,2,High,Conservative normalization
choudhary dhaba,2,2,2,Medium,Conservative normalization
choudhary pavitra bhojanlaya,2,2,2,Medium,Conservative normalization
choudhary s kitchen,2,1,2,High,Conservative normalization
chow express,2,1,2,High,Conservative normalization
chowmein,2,2,2,Medium,Conservative normalization
chowpati natural kulfi,2,1,2,High,Conservative normalization
chubby chai,2,1,2,High,Conservative normalization
chufang the kitchen,2,1,2,High,Conservative normalization
chula dosa hub,2,1,2,High,Conservative normalization
chulha,2,1,2,High,Conservative normalization
chulha chauka,2,1,1,High,Conservative normalization
chullah,2,1,2,High,Conservative normalization
chung hua restaurant,2,1,2,High,Conservative normalization
chung wah express,2,1,2,High,Conservative normalization
chutney india,2,1,2,High,Conservative normalization
cibo,2,1,2,High,Conservative normalization
cinema cafe,2,2,2,Medium,Conservative normalization
cinnamon house,2,1,2,High,Conservative normalization
cinnamon kitchen,2,1,2,High,Conservative normalization
cinnamon restaurant,2,1,2,High,Conservative normalization
citi cafe,2,2,2,Medium,Conservative normalization
city biryani,2,1,2,High,Conservative normalization
city burger,2,2,2,Medium,Conservative normalization
city cakes,2,1,2,High,Conservative normalization
city corner,2,2,2,Medium,Conservative normalization
city fast food,2,2,2,Medium,Conservative normalization
city hotel,2,1,2,High,Conservative normalization
city kitchen,2,1,2,High,Conservative normalization
city square cafeteria,2,2,2,Medium,Conservative normalization
classic family restaurant,2,1,2,High,Conservative normalization
classic fast food,2,2,2,Medium,Conservative normalization
classic foods,2,2,2,Medium,Conservative normalization
classic rolls,2,2,2,Medium,Conservative normalization
classic sandwich,2,1,2,High,Conservative normalization
classic vada pav,2,2,2,Medium,Conservative normalization
clay 1 grill,2,1,2,High,Conservative normalization
claypot kebab and biryani,2,2,2,Medium,Conservative normalization
clock tower,2,1,2,High,Conservative normalization
cloud 9 kitchen,2,1,2,High,Conservative normalization
clove and cardamom,2,1,2,High,Conservative normalization
club house cafe,2,2,2,Medium,Conservative normalization
cluckers fried chicken restaurant,2,1,2,High,Conservative normalization
cmr food court,2,2,2,Medium,Conservative normalization
cnp house chicken and paratha,2,1,2,High,Conservative normalization
coastal delight,2,2,2,Medium,Conservative normalization
cococafe,2,1,2,High,Conservative normalization
cocolicious,2,1,2,High,Conservative normalization
coconut grove,2,2,2,Medium,Conservative normalization
coffee and more,2,2,2,Medium,Conservative normalization
coffee bar,2,1,2,High,Conservative normalization
coffee bear,2,2,2,Medium,Conservative normalization
coffee bond,2,1,2,High,Conservative normalization
coffee break,2,1,2,High,Conservative normalization
coffee club,2,1,2,High,Conservative normalization
coffee dude,2,2,2,Medium,Conservative normalization
coffee house mountroad,2,2,2,Medium,Conservative normalization
coffee king,2,1,2,High,Conservative normalization
coffee mechanics,2,1,2,High,Conservative normalization
coffee over breakfast,2,2,2,Medium,Conservative normalization
coffee world keventer ventures limited,2,1,2,High,Conservative normalization
cold street,2,1,2,High,Conservative normalization
collage by toscano,2,1,2,High,Conservative normalization
colocal cafe,2,1,2,High,Conservative normalization
combo 99,2,2,2,Medium,Conservative normalization
combo club,2,1,2,High,Conservative normalization
combo food court,2,1,2,High,Conservative normalization
combo junction,2,2,2,Medium,Conservative normalization
combo nation,2,2,2,Medium,Conservative normalization
combo stories by 10d express,2,1,2,High,Conservative normalization
comboman,2,1,2,High,Conservative normalization
combos 99,2,2,2,Medium,Conservative normalization
come n eat,2,2,2,Medium,Conservative normalization
commando food capital,2,1,2,High,Conservative normalization
community cafe,2,1,2,High,Conservative normalization
computerized chole kulche,2,1,2,High,Conservative normalization
confucius,2,1,2,High,Conservative normalization
cook house,2,2,2,Medium,Conservative normalization
cool cafe,2,1,2,High,Conservative normalization
cool deck coffee,2,2,2,Medium,Conservative normalization
cool n fresh,2,2,2,Medium,Conservative normalization
cool point,2,2,2,Medium,Conservative normalization
cool time,2,2,2,Medium,Conservative normalization
cool town,2,1,2,High,Conservative normalization
copper handi,2,2,2,Medium,Conservative normalization
coregrills,2,1,2,High,Conservative normalization
corn king,2,1,2,High,Conservative normalization
corner bakers,2,1,2,High,Conservative normalization
corner bowls,2,1,2,High,Conservative normalization
cosmos pizza,2,2,2,Medium,Conservative normalization
cottage loaf,2,2,2,Medium,Conservative normalization
country chicken,2,2,2,Medium,Conservative normalization
country kitchens,2,1,2,High,Conservative normalization
country made grills n fries,2,1,2,High,Conservative normalization
country roads restaurant and cafe,2,1,2,High,Conservative normalization
country side cafe,2,2,2,Medium,Conservative normalization
couples kitchen,2,1,2,High,Conservative normalization
craft of biryani,2,2,2,Medium,Conservative normalization
crave,2,1,2,High,Conservative normalization
crave yard,2,2,2,Medium,Conservative normalization
cravers,2,1,2,High,Conservative normalization
craving curries,2,1,2,High,Conservative normalization
crazy 4 chicken,2,2,2,Medium,Conservative normalization
crazy bite,2,1,2,High,Conservative normalization
crazy burger,2,2,2,Medium,Conservative normalization
crazy chaap corner,2,2,2,Medium,Conservative normalization
crazy chinese,2,2,2,Medium,Conservative normalization
crazy coffee,2,1,2,High,Conservative normalization
crazy combo,2,2,2,Medium,Conservative normalization
crazy grill,2,2,2,Medium,Conservative normalization
crazy maggie and burger,2,2,2,Medium,Conservative normalization
crazy meals,2,1,2,High,Conservative normalization
crazy shakes,2,1,2,High,Conservative normalization
crazzy pizza,2,1,2,High,Conservative normalization
crazzy southian,2,1,2,High,Conservative normalization
crea la tua pizza,2,2,2,Medium,Conservative normalization
cream and cheese,2,1,2,High,Conservative normalization
cream corner,2,1,2,High,Conservative normalization
cream n cafe,2,2,2,Medium,Conservative normalization
cream n crust cafe,2,1,2,High,Conservative normalization
cream story,2,1,2,High,Conservative normalization
cream town,2,1,2,High,Conservative normalization
creambell,2,1,2,High,Conservative normalization
creamy cake,2,2,2,Medium,Conservative normalization
creamy pasta,2,1,2,High,Conservative normalization
creative chef baker,2,1,2,High,Conservative normalization
creativtea,2,1,2,High,Conservative normalization
creme n crisp,2,1,2,High,Conservative normalization
cremeux,2,1,2,High,Conservative normalization
cremeux pizza and bakery cafe,2,2,2,Medium,Conservative normalization
crepe king,2,2,2,Medium,Conservative normalization
crispy,2,2,2,Medium,Conservative normalization
crispy bite,2,2,2,Medium,Conservative normalization
crispy bites,2,1,2,High,Conservative normalization
crispy cafe,2,2,2,Medium,Conservative normalization
crispy pizza,2,2,2,Medium,Conservative normalization
crispy treat,2,2,2,Medium,Conservative normalization
