normalized_name,observed_rows,raw_name_variants,distinct_restaurant_ids,confidence,review_status
food hub,18,4,18,Medium,Conservative normalization
ganga sweets,18,1,18,High,Conservative normalization
hotel saravana bhavan,18,1,18,High,Conservative normalization
kreamz,18,1,18,High,Conservative normalization
little italy,18,2,18,Medium,Conservative normalization
maa ki khichdi,18,3,18,Medium,Conservative normalization
mama mia italian ice creams,18,2,18,Medium,Conservative normalization
mother s kitchen,18,4,18,Medium,Conservative normalization
punjabi chulha,18,3,18,Medium,Conservative normalization
sanskari biryani,18,2,18,Medium,Conservative normalization
scoops,18,2,18,Medium,Conservative normalization
aligarh house by eatfit,17,1,17,High,Conservative normalization
biryani king,17,2,17,Medium,Conservative normalization
cake square,17,4,17,Medium,Conservative normalization
chickpet donne biryani house,17,5,17,Medium,Conservative normalization
delhi 6,17,3,17,Medium,Conservative normalization
dumont creamery,17,1,17,High,Conservative normalization
fat tiger,17,2,17,Medium,Conservative normalization
hero sandwiches,17,1,17,High,Conservative normalization
kolkata famous kati roll,17,5,17,Medium,Conservative normalization
makhni brothers,17,1,17,High,Conservative normalization
mba in khichdi,17,2,17,Medium,Conservative normalization
monginis cake shop,17,3,17,Medium,Conservative normalization
red chilli,17,4,17,Medium,Conservative normalization
street foods by punjab grill,17,1,17,High,Conservative normalization
sweet truth,17,1,17,High,Conservative normalization
the almighty biryani,17,2,17,Medium,Conservative normalization
zaika restaurant,17,3,17,Medium,Conservative normalization
bikaner sweets,16,4,16,Medium,Conservative normalization
biryani darbar,16,3,16,Medium,Conservative normalization
biryani express,16,2,16,Medium,Conservative normalization
cake n bake,16,3,16,Medium,Conservative normalization
champaran meat house,16,3,16,Medium,Conservative normalization
cheesecake and co,16,6,16,Medium,Conservative normalization
chennai kulfi,16,3,16,Medium,Conservative normalization
cupcake noggins vintage patisserie,16,1,16,High,Conservative normalization
dessert studio by third wave,16,1,16,High,Conservative normalization
dhaba estd 1986 delhi,16,1,16,High,Conservative normalization
dunkin,16,1,16,High,Conservative normalization
five star,16,3,16,Medium,Conservative normalization
hotel empire,16,1,16,High,Conservative normalization
khichdi express,16,3,16,Medium,Conservative normalization
khichdi paradise,16,1,16,High,Conservative normalization
kingdom of momos,16,5,16,Medium,Conservative normalization
leon grill,16,2,16,Medium,Conservative normalization
maalgaadi by dhaba estd 1986 delhi,16,1,16,High,Conservative normalization
onesta,16,2,16,Medium,Conservative normalization
potful claypot biryanis,16,1,16,High,Conservative normalization
punjab grill,16,2,16,Medium,Conservative normalization
royal sandwich,16,3,16,Medium,Conservative normalization
shree santosh family dhaba,16,3,16,Medium,Conservative normalization
social,16,1,16,High,Conservative normalization
suchali s artisan bakehouse,16,1,16,High,Conservative normalization
the grill theory,16,4,16,Medium,Conservative normalization
the shake maker,16,1,16,High,Conservative normalization
the shawarma company,16,3,16,Medium,Conservative normalization
the waffle co,16,5,16,Medium,Conservative normalization
ufo fries and corn,16,7,16,Medium,Conservative normalization
wakka makka chinese,16,2,16,Medium,Conservative normalization
what a sandwich,16,2,16,Medium,Conservative normalization
zaika,16,2,16,Medium,Conservative normalization
anna dosa point,15,3,15,Medium,Conservative normalization
behrouz biryani royal and safe,15,1,15,High,Conservative normalization
belgian waffle factory,15,2,15,Medium,Conservative normalization
biryani point,15,3,15,Medium,Conservative normalization
burger hut,15,3,15,Medium,Conservative normalization
cake adda,15,2,15,Medium,Conservative normalization
cake junction,15,2,15,Medium,Conservative normalization
chai waale,15,3,15,Medium,Conservative normalization
chinese adda,15,2,15,Medium,Conservative normalization
delhi darbar,15,3,15,Medium,Conservative normalization
desi chinese,15,3,15,Medium,Conservative normalization
food express,15,4,15,Medium,Conservative normalization
freshmenu,15,1,15,High,Conservative normalization
goli vada pav,15,4,15,Medium,Conservative normalization
havmor ice cream,15,3,15,Medium,Conservative normalization
hot chips,15,2,15,Medium,Conservative normalization
ice cream works,15,1,15,High,Conservative normalization
jay bhavani vadapav,15,1,15,High,Conservative normalization
kitchen king,15,5,15,Medium,Conservative normalization
meal box,15,2,15,Medium,Conservative normalization
mehfil,15,2,15,Medium,Conservative normalization
paratha king,15,2,15,Medium,Conservative normalization
pizza zone,15,2,15,Medium,Conservative normalization
punjabi chaap corner,15,6,15,Medium,Conservative normalization
rock n roll,15,4,15,Medium,Conservative normalization
royal biryani,15,3,15,Medium,Conservative normalization
saffron,15,2,15,Medium,Conservative normalization
salem rr biriyani unavagam,15,1,15,High,Conservative normalization
shakti the sandwich shop,15,3,15,Medium,Conservative normalization
shawarma house,15,4,15,Medium,Conservative normalization
sree gupta bhavan,15,3,15,Medium,Conservative normalization
thalaivars biryani,15,1,15,High,Conservative normalization
thali central,15,1,15,High,Conservative normalization
aasife biriyani,14,4,14,Medium,Conservative normalization
best belgian waffle,14,4,14,Medium,Conservative normalization
brown sugar,14,2,14,Medium,Conservative normalization
burger hub,14,2,14,Medium,Conservative normalization
burger lounge,14,2,14,Medium,Conservative normalization
chaat ka chaska,14,4,14,Medium,Conservative normalization
chettinese,14,1,14,High,Conservative normalization
chili s american grill and bar,14,1,14,High,Conservative normalization
chinese corner,14,3,14,Medium,Conservative normalization
chinese hub,14,3,14,Medium,Conservative normalization
chinese kitchen,14,3,14,Medium,Conservative normalization
ching chong asian,14,1,14,High,Conservative normalization
fabcafe by fabindia,14,3,14,Medium,Conservative normalization
food corner,14,3,14,Medium,Conservative normalization
gopala,14,1,14,High,Conservative normalization
huber and holly,14,2,14,Medium,Conservative normalization
hudson chopsticks,14,1,14,High,Conservative normalization
hyderabadi biryani,14,2,14,Medium,Conservative normalization
kritunga restaurant,14,2,14,Medium,Conservative normalization
meals101,14,1,14,High,Conservative normalization
momo king,14,2,14,Medium,Conservative normalization
mr momo,14,7,14,Medium,Conservative normalization
mr sandwich,14,5,14,Medium,Conservative normalization
nandhana palace,14,1,14,High,Conservative normalization
pavman,14,2,14,Medium,Conservative normalization
pizza cafe,14,2,14,Medium,Conservative normalization
pizza world,14,3,14,Medium,Conservative normalization
rasoi,14,2,14,Medium,Conservative normalization
roms pizza,14,3,14,Medium,Conservative normalization
royal cafe,14,3,14,Medium,Conservative normalization
sandwich junction,14,2,14,Medium,Conservative normalization
shawarma corner,14,3,14,Medium,Conservative normalization
shawarma king,14,3,14,Medium,Conservative normalization
street food karvaan,14,1,14,High,Conservative normalization
thalassery restaurant,14,2,14,Medium,Conservative normalization
thali 99,14,4,14,Medium,Conservative normalization
top n town,14,2,14,Medium,Conservative normalization
topi vappa biriyani,14,4,14,Medium,Conservative normalization
us pizza,14,4,14,Medium,Conservative normalization
vaango,14,1,14,High,Conservative normalization
ambur star briyani,13,3,13,Medium,Conservative normalization
apna dhaba,13,3,13,Medium,Conservative normalization
beyond temptation,13,2,12,Medium,Conservative normalization
biryani adda,13,4,13,Medium,Conservative normalization
biryani corner,13,3,13,Medium,Conservative normalization
cafe chokolade,13,1,13,High,Conservative normalization
cafe delhi heights,13,2,13,Medium,Conservative normalization
cafe peter,13,3,13,Medium,Conservative normalization
cake studio,13,3,13,Medium,Conservative normalization
cake world,13,3,13,Medium,Conservative normalization
chinese express,13,4,13,Medium,Conservative normalization
cloud kitchen,13,2,13,Medium,Conservative normalization
corner house ice cream,13,1,13,High,Conservative normalization
crazy 4 cakes,13,1,13,High,Conservative normalization
desi kitchen,13,3,13,Medium,Conservative normalization
emoi artisanal ice creams and gelato,13,3,13,Medium,Conservative normalization
fat chinese chef,13,2,13,Medium,Conservative normalization
flurys,13,1,13,High,Conservative normalization
food villa,13,3,13,Medium,Conservative normalization
food zone,13,3,13,Medium,Conservative normalization
foodies,13,2,13,Medium,Conservative normalization
garam masala,13,2,13,Medium,Conservative normalization
golden dragon,13,2,13,Medium,Conservative normalization
green dot pizza,13,1,13,High,Conservative normalization
grill nights,13,3,13,Medium,Conservative normalization
hocco eatery,13,1,13,High,Conservative normalization
honest,13,1,13,High,Conservative normalization
hot breads,13,1,13,High,Conservative normalization
hungry point,13,2,13,Medium,Conservative normalization
junior kuppanna,13,1,13,High,Conservative normalization
kake da hotel,13,3,13,Medium,Conservative normalization
kannu ki chai,13,2,13,Medium,Conservative normalization
khana khajana,13,3,13,Medium,Conservative normalization
lassi n shakes,13,6,13,Medium,Conservative normalization
laziz biryani,13,2,12,Medium,Conservative normalization
masala darbar,13,3,13,Medium,Conservative normalization
mast banarasi paan,13,2,13,Medium,Conservative normalization
murugan idli shop,13,1,13,High,Conservative normalization
myfroyoland,13,1,13,High,Conservative normalization
oh my shawarma,13,3,13,Medium,Conservative normalization
pet pooja,13,2,13,Medium,Conservative normalization
pizza delight,13,3,13,Medium,Conservative normalization
pizza never lies,13,1,13,High,Conservative normalization
pokket cafe,13,3,13,Medium,Conservative normalization
prowl foods by tiger shroff,13,1,13,High,Conservative normalization
roll express,13,3,13,Medium,Conservative normalization
rolls king,13,3,13,Medium,Conservative normalization
rolls on wheels,13,3,13,Medium,Conservative normalization
sanjha chulha since 1979,13,3,13,Medium,Conservative normalization
sizzlly chicken,13,2,13,Medium,Conservative normalization
smoke house deli,13,2,13,Medium,Conservative normalization
smokin joe s,13,3,13,Medium,Conservative normalization
swad restaurant,13,1,13,High,Conservative normalization
swiss castle,13,1,13,High,Conservative normalization
the brooklyn creamery the healthy ice cream,13,1,13,High,Conservative normalization
the chinese story,13,2,13,Medium,Conservative normalization
the milkshake factory,13,3,13,Medium,Conservative normalization
the momo panda,13,3,13,Medium,Conservative normalization
the pizza house,13,3,13,Medium,Conservative normalization
the wrap co,13,1,13,High,Conservative normalization
tibb s frankie,13,2,13,Medium,Conservative normalization
unmarried kitchen value meals and combos,13,1,13,High,Conservative normalization
wangs kitchen,13,1,13,High,Conservative normalization
william john s pizza,13,3,13,Medium,Conservative normalization
winner pizzas fresh dough,13,1,13,High,Conservative normalization
wrap n roll,13,4,13,Medium,Conservative normalization
xero degrees,13,4,13,Medium,Conservative normalization
zaitoon,13,1,13,High,Conservative normalization
afc,12,2,12,Medium,Conservative normalization
ande ka funda,12,3,12,Medium,Conservative normalization
auntie fung s,12,2,12,Medium,Conservative normalization
biryani mount,12,1,12,High,Conservative normalization
biryani wala,12,3,12,Medium,Conservative normalization
burger house,12,2,12,Medium,Conservative normalization
cafe by nature s basket,12,2,12,Medium,Conservative normalization
chai club,12,2,12,Medium,Conservative normalization
chawla chicken social,12,3,12,Medium,Conservative normalization
chennai express,12,2,12,Medium,Conservative normalization
chhaswala,12,1,12,High,Conservative normalization
chicken king,12,3,12,Medium,Conservative normalization
chinese junction,12,3,12,Medium,Conservative normalization
chitale bandhu mithaiwale,12,2,12,Medium,Conservative normalization
costa coffee,12,1,12,High,Conservative normalization
dana paani,12,2,12,Medium,Conservative normalization
desi dhaba,12,2,12,Medium,Conservative normalization
dessi cuppa,12,2,12,Medium,Conservative normalization
donne biriyani house,12,2,12,Medium,Conservative normalization
donne biriyani mane,12,3,12,Medium,Conservative normalization
donut house,12,1,12,High,Conservative normalization
fat wrap fat roll,12,1,12,High,Conservative normalization
food lovers,12,3,12,Medium,Conservative normalization
friends cafe,12,2,12,Medium,Conservative normalization
go zero guilt free ice creams,12,1,12,High,Conservative normalization
haji biryani,12,2,12,Medium,Conservative normalization
home food,12,3,12,Medium,Conservative normalization
hot lee chinese,12,2,12,Medium,Conservative normalization
ice n spice,12,4,12,Medium,Conservative normalization
jallikattu biriyani,12,2,12,Medium,Conservative normalization
just baked,12,2,12,Medium,Conservative normalization
just shawarma,12,1,12,High,Conservative normalization
kelvin scale,12,3,12,Medium,Conservative normalization
khan chacha,12,1,12,High,Conservative normalization
krishna restaurant,12,2,12,Medium,Conservative normalization
lassi house,12,3,12,Medium,Conservative normalization
london bubble co,12,3,12,Medium,Conservative normalization
madras military hotel,12,2,12,Medium,Conservative normalization
masala kitchen,12,2,12,Medium,Conservative normalization
momo junction,12,2,12,Medium,Conservative normalization
moms kitchen,12,2,12,Medium,Conservative normalization
moonmoon juicy crustwiches,12,1,12,High,Conservative normalization
mughal biryani,12,3,12,Medium,Conservative normalization
mughal darbar,12,3,12,Medium,Conservative normalization
oh calcutta,12,2,12,Medium,Conservative normalization
olio the wood fired pizzeria,12,1,12,High,Conservative normalization
paratha house,12,3,12,Medium,Conservative normalization
pizza club,12,4,12,Medium,Conservative normalization
pizza factory,12,2,12,Medium,Conservative normalization
pizza mania,12,4,12,Medium,Conservative normalization
rasna buzz,12,3,12,Medium,Conservative normalization
rasoi ghar,12,2,12,Medium,Conservative normalization
roll xpress,12,1,12,High,Conservative normalization
sai fast food,12,4,12,Medium,Conservative normalization
sangeetha veg restaurant,12,2,12,Medium,Conservative normalization
sankalp,12,1,12,High,Conservative normalization
senoritas mexican kitchen by little italy,12,1,12,High,Conservative normalization
sha sha shandaar shawarma,12,3,12,Medium,Conservative normalization
shree mahalakshmi sweets,12,2,12,Medium,Conservative normalization
silver spoon,12,2,12,Medium,Conservative normalization
tandoori nights,12,2,12,Medium,Conservative normalization
thali junction,12,3,12,Medium,Conservative normalization
the empire juice shop,12,1,12,High,Conservative normalization
the food junction,12,3,12,Medium,Conservative normalization
the icecream zone,12,2,12,Medium,Conservative normalization
urban dhaba,12,2,12,Medium,Conservative normalization
yo china,12,5,12,Medium,Conservative normalization
7th heaven cake shop,11,5,11,Medium,Conservative normalization
al bek,11,4,11,Medium,Conservative normalization
annapurna,11,2,10,Medium,Conservative normalization
ath all things healthy,11,1,11,High,Conservative normalization
banana leaf,11,3,11,Medium,Conservative normalization
bangarpet chats,11,3,11,Medium,Conservative normalization
basmati express,11,1,11,High,Conservative normalization
bhukha sher,11,2,11,Medium,Conservative normalization
big wong,11,2,11,Medium,Conservative normalization
bistro 57,11,2,11,Medium,Conservative normalization
bowl soul,11,1,11,High,Conservative normalization
bowlss of bliss,11,2,11,Medium,Conservative normalization
brewbakes,11,2,11,Medium,Conservative normalization
brown burger co,11,3,11,Medium,Conservative normalization
burger express,11,3,11,Medium,Conservative normalization
cakes and bakes,11,7,11,Medium,Conservative normalization
chaatimes,11,1,11,High,Conservative normalization
charcoal eats biryani and beyond,11,2,11,Medium,Conservative normalization
chicken khurana,11,2,11,Medium,Conservative normalization
china bowl,11,3,11,Medium,Conservative normalization
chinese king,11,3,11,Medium,Conservative normalization
chopstick,11,1,11,High,Conservative normalization
crazy bao,11,1,11,High,Conservative normalization
crusto s cheese burst pizza,11,1,11,High,Conservative normalization
dangee dums,11,1,11,High,Conservative normalization
delhi cacies,11,2,11,Medium,Conservative normalization
desi chulha,11,3,11,Medium,Conservative normalization
dosa corner,11,3,11,Medium,Conservative normalization
dou chi,11,2,11,Medium,Conservative normalization
