raw_city,clean_city,metro_region,state,confidence,review_status,row_count
"Panampilly Nagar,Kochi",Kochi,Kochi,Unmapped,Medium,Review pending,237
Tirupur,Tirupur,Tirupur,Unmapped,Medium,Review pending,237
"Yeshwanthpur,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,235
"Royapettah,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,230
Salem,Salem,Salem,Unmapped,Medium,Review pending,228
"Santoshnagar & Saidabad,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,228
Jhansi,Jhansi,Jhansi,Unmapped,Medium,Review pending,225
"MVP Colony,Vizag",Vizag,Vizag,Unmapped,Medium,Review pending,222
Cuttack,Cuttack,Cuttack,Unmapped,Medium,Review pending,220
Hisar,Hisar,Hisar,Unmapped,Medium,Review pending,219
Ajmer,Ajmer,Ajmer,Unmapped,Medium,Review pending,217
Kozhikode,Kozhikode,Kozhikode,Unmapped,Medium,Review pending,214
Aligarh,Aligarh,Aligarh,Unmapped,Medium,Review pending,213
"Kadugodi,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,213
"Frazer Town,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,212
"Mahalaxmi Malabar Hill,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,212
"Kompally,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,211
Erode,Erode,Erode,Unmapped,Medium,Review pending,209
"Naranpura,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,209
Thrissur,Thrissur,Thrissur,Unmapped,Medium,Review pending,209
"Manasarovar,Jaipur",Jaipur,Jaipur,Unmapped,Medium,Review pending,208
"Kalyani Nagar,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,206
"Vishrantwadi,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,206
"Arumbakkam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,204
"NIT_FBD,Gurgaon",Gurgaon,Gurgaon,Haryana,High,Reviewed rule,204
Panipat,Panipat,Panipat,Unmapped,Medium,Review pending,204
"West Chd,Chandigarh",Chandigarh,Chandigarh,Chandigarh,High,Reviewed rule,200
"Purasawalkam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,199
Hubli,Hubballi,Hubballi,Unmapped,High,Reviewed rule,198
"Manish Nagar,Nagpur",Nagpur,Nagpur,Unmapped,Medium,Review pending,197
Nellore,Nellore,Nellore,Unmapped,Medium,Review pending,197
Vellore,Vellore,Vellore,Unmapped,Medium,Review pending,197
Bhilai,Bhilai,Bhilai,Unmapped,Medium,Review pending,196
Mangaluru,Mangaluru,Mangaluru,Unmapped,Medium,Review pending,196
Anand,Anand,Anand,Unmapped,Medium,Review pending,195
"Nanakramguda,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,194
Belgaum,Belagavi,Belagavi,Unmapped,High,Reviewed rule,191
"Gajuwaka,Vizag",Vizag,Vizag,Unmapped,Medium,Review pending,190
"Kumaraswamy Layout & Uttarahalli,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,190
"New Palasia,Indore",Indore,Indore,Madhya Pradesh,High,Reviewed rule,188
"Saravanampatti,Coimbatore",Coimbatore,Coimbatore,Unmapped,Medium,Review pending,188
"Kanakapura Road,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,187
"Punjabi Bagh,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,186
"Ameerpet,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,185
"ECR-Kottivakkam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,183
Solapur,Solapur,Solapur,Unmapped,Medium,Review pending,182
Mansa,Mansa,Mansa,Unmapped,Medium,Review pending,178
Yamuna-nagar,Yamunanagar,Yamunanagar,Unmapped,High,Reviewed rule,178
"N A D,Vizag",Vizag,Vizag,Unmapped,Medium,Review pending,177
"Aminabad,Lucknow",Lucknow,Lucknow,Uttar Pradesh,High,Reviewed rule,176
"Guindy,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,176
"Paldi & Ambawadi,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,176
"Villivakkam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,176
Morbi,Morbi,Morbi,Unmapped,Medium,Review pending,175
"Warje,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,175
"Sai Baba Colony,Coimbatore",Coimbatore,Coimbatore,Unmapped,Medium,Review pending,174
Bathinda,Bathinda,Bathinda,Unmapped,Medium,Review pending,173
"Sitabuldi,Nagpur",Nagpur,Nagpur,Unmapped,Medium,Review pending,172
"Koregaon Park,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,170
Anantapur,Anantapur,Anantapur,Unmapped,Medium,Review pending,166
Agartala,Agartala,Agartala,Unmapped,Medium,Review pending,165
"Iyyapanthangal,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,164
Haldwani,Haldwani,Haldwani,Unmapped,Medium,Review pending,163
"Poonamallee,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,163
Thanjavur,Thanjavur,Thanjavur,Unmapped,Medium,Review pending,160
Bilaspur,Bilaspur,Bilaspur,Unmapped,Medium,Review pending,159
"Mahindra World City,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,159
Kakinada,Kakinada,Kakinada,Unmapped,Medium,Review pending,158
Manipal,Manipal,Manipal,Unmapped,Medium,Review pending,157
Karnal,Karnal,Karnal,Unmapped,Medium,Review pending,155
"Mylapore,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,155
